Date,Confirmed,New,again,Index
4/14/2020,1,0,0,1
4/15/2020,1,0,1,2
4/16/2020,3,2,2,3
4/17/2020,3,0,2,4
4/18/2020,3,0,2,5
4/19/2020,3,0,2,6
4/20/2020,4,1,3,7
4/21/2020,4,0,3,8
4/22/2020,4,0,3,9
4/23/2020,6,2,5,10
4/24/2020,11,5,10,11
4/25/2020,11,0,10,12
4/26/2020,12,,11,13
4/27/2020,14,,13,14
4/28/2020,14,,13,15
4/29/2020,16,,15,16
