Date,Confirmed,New,again,Index
4/14/2020,24,2,0,1
4/15/2020,28,4,4,2
4/16/2020,28,0,4,3
4/17/2020,28,0,4,4
4/18/2020,34,6,10,5
4/19/2020,40,6,16,6
4/20/2020,42,2,18,7
4/21/2020,48,6,24,8
4/22/2020,48,0,24,9
4/23/2020,53,5,29,10
4/24/2020,64,9,40,11
4/25/2020,71,,47,12
4/26/2020,79,,55,13
4/27/2020,85,,61,14
4/28/2020,85,,61,15
4/29/2020,95,,71,16
